artist_name,track_name,release_date,genre,lyrics
NEIL FRANCES,Teardrops,2018,soul,"I break down and cry, next time I'll be true Fever for lost romance reminds me baby of you I took a crazy chance, next time I'll be true I'll be true I'll be true Footsteps on the dance floor, remind me baby of you Teardrops in my eyes, next time I'll be true Whispers in the powder room, she cries on every tune Every tune Every tune Every tune Every tune And the music don't feel like it did when I felt it with you Nothing that I do or feel ever feels like I felt it with you And the music don't feel like it did when I felt it with you (felt it with you) Nothing that I do or feel ever feels like I felt it with you (felt it with you) And the music don't feel like it did when I felt it with you (felt it with you) Nothing that I do or feel ever feels like I felt it with you (felt it with you) And the music don't feel like it did when I felt it with you (felt it with you) Nothing that I do or feel ever feels like I felt it with you (felt it with you)"
Craig David,7 Days,2000,soul,"You know what? Got something to say Craig David Seven days Check it out, yeah [Verse 1] On my way to see my friends Who lived a couple blocks away from me (Oh) As I walked through the subway It must have been about quarter past three In front of me Stood a beautiful honey with a beautiful body (Body) She asked me for the time I said it'd cost her a name A six digit number and a date with me tomorrow at nine [Pre-Chorus] Did she decline? No Didn't she mind? I don't think so Was it for real? Damn sure What was the deal? A pretty girl, age twenty-four So was she keen? She couldn't wait Cinnamon queen? Let me update What did she say? She said she'd, ""Love to rendezvous"" She asked me, ""What we were gonna do?"" Said we'd start with a bottle of Moet for two [Chorus] Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday and Friday and Saturday, we chilled on Sunday I met this girl on Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday and Friday and Saturday, we chilled on Sunday [Verse 2] Nine was the time 'Cause I'll be getting mine And she was looking fine Smooth talker She told me She'd love to unfold me all night long Ooh, I loved the way she kicked it From the front to back she flipped it (Back she flipped it, the way she kicked it) And I, oh-oh, I, yeah Hope that she'd care 'Cause I'm a man who'll always be there (Ooh, yeah) [Pre-Chorus] I'm not a man to play around, baby (Ooh, yeah) 'Cause a one night stand isn't really fair From the first impression girl, hmm, you don't seem to be like that 'Cause there's no need to chat 'for there'll be plenty time for that From the subway to my home Endless ringing off my phone When you're feeling all alone All you gotta do Is just call me, call me [Chorus] Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday and Friday and Saturday, we chilled on Sunday I met this girl on Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday and Friday and Saturday, we chilled on Sunday [Bridge] (Break it down, break it down) Since I met this special lady Ooh, yeah I can't get her off my mind She's one of a kind And I ain't about to deny it It's a special kind of thing With you, oh [Chorus] Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday and Friday and Saturday, we chilled on Sunday I met this girl on Monday Took her for a drink on Tuesday We were making love by Wednesday And on Thursday and Friday and Saturday, we chilled on Sunday (Sunday, Sunday, Sunday, Sunday)"
Al Green,Tired of Being Alone,1971,soul,"Sweet baby [Chorus] I'm so tired of being alone I'm so tired of on-my-own Won't you help me girl Just as soon as you can? [Verse 1] People say that I've found a way To make you say that you love me Hey baby, you didn't go for that It's a natural fact That I wanna come back Show me where it's at, baby [Chorus] I'm so tired of being alone I'm so tired of on-my-own Won't you help me girl Soon as you can? [Verse 2] I guess you know that I, uh, I love you so Even though you don't want me no more Hey hey hey hey, I'm cryin' tears All through the years I'll tell ya like it is Honey, love me if you will [Bridge] Yeah baby Tired of being alone here by myself, now I tell ya, I'm tired baby I'm tired of being all wrapped up late at night In my dreams, nobody but you, baby Sometimes I wonder (Oooooh) If you love me like you say you do You see baby, I been thinkin' about it, yeah I been, I been wantin' to get next to you baby Ya see, sometimes I fold my arms, I say mmmm hmmm hmmm (Oooh) Yeah baby Meeting you has proven to me To be my greatest dream, yeah [Outro] Tired, baby Yeah, you don't know what I'm talkin' about Sometimes late at night, I get to wonderin' about you baby Oh, baby, baby I'm so tired of being alone I'm so tired of being alone I'm so tired of being alone…"
Sam & Dave,"Hold On, I'm Comin'",1966,soul,"Don't you ever be sad Lean on me when times are bad When the day comes and you are down In a river of trouble and about to drown [Chorus: Dave Prater & Sam Moore] Just hold on, I'm comin' Hold on, I'm comin' [Verse 2: Dave Prater] I'm on my way, your lover If you get cold, yeah, I will be your cover Don't have to worry, 'cause I'm here No need to suffer, baby, 'cause I'm near [Chorus: Dave Prater & Sam Moore] Just hold on, I'm comin' Hold on, I'm comin' Hold on, I'm comin' Hold on, I'm comin' [Bridge: Dave Prater & Sam Moore] Lookie here, reach out to me For satisfaction, yeah Lookie here, Dave, that's all she got to do Call my name, yeah, for quick reaction Yeah, yeah, yeah, yeah [Verse 1: Sam Moore] Now don't you ever be sad Lean on me when the times are bad When the day comes and you are down, baby In a river of trouble and about to drown [Chorus: Dave Prater, Sam Moore & Both] Just hold on, I'm comin' Hold on, I'm comin' Just hold on (Don't you worry) I'm comin' (Here we come) Hold on (We're about to save you) I'm comin' (Yeah) Hold on (Don't you worry) I'm comin' (Here I come)"
Mura Masa,Love$ick (feat. A$AP Rocky),2017,soul,"Please, babe, pretty please With a cherry on top, can you please—? [Verse 1: A$AP Rocky] The weather cold, the weather so Chill, Chilly Willy, penguin feather roll Cause I'm sipping Pro, yeah, that meth is pro Promethazine, yeah, a stepping stone Oh, they acting up? Get your weapon drawn They only killing time, another second gone I heard your man ain't home, now you melatone But you acting young and you hella grown [Build: Mura Masa & A$AP Rocky] I need you I'ma wait for my lil' momma come home I want you Man, I swear to God, she gon' miss me when I’m gone I need you I’m a lovesick fuck (Come over here), and it’s right but you wrong [Drop: Mura Masa] I need you, I want you Come over here I need you, I want you I need you, I want you Come over here I need you, I want you [Verse 2: A$AP Rocky] Okay, she giving me love, but it fuck my energy up Every time it's finna be summer, only got the memories of us And now we industry lovers, they making enemies of us I mean, sometimes we in public, they drain the synergy from us Visit Italia, be my señorita I-vee-tha or Eye-be-tha either way you need a visa I ain't talking 'bout MasterCards, debit cards either Credit charge, Kermit the Frog, margaritas Yeah, I heard she got a man, homie, yeah Yeah, he wanna lay the hands on me, yeah But he should see the way she dance on me, yeah Wishing I ain't had no pants on me [Build: Mura Masa & A$AP Rocky] I need you I'm a lovesick fuck I want you I'm a lovesick fuck [Drop: Mura Masa] I need you, I want you Come over here I need you, I want you I need you, I want you Come over here I need you, I want you [Outro: Mura Masa & A$AP Rocky] I need you I'm a lovesick fuck I need you I'm a lovesick fuck I need you I'm a lovesick fuck I need you I'm a lovesick fuck I'm a lovesick fuck I'm a lovesick fuck"
Etta James,A Sunday Kind Of Love,1960,soul,"I want a Sunday kind of love A love to last past Saturday night And I'd like to know it's more than love at first sight And I want a Sunday kind of love, oh yeah, yeah [Verse 2] I want a, a, a love that's on the square Can't seem to find somebody, someone to care And I'm on a lonely road that leads to nowhere I need a Sunday kind of love [Bridge] I do my Sunday dreaming, oh yeah, and all my Sunday scheming Every minute, every hour, every day Oh, I'm hoping to discover a certain kind of lover Who will show me the way [Verse 3] And my arms need someone, someone to enfold To keep me warm when Mondays and Tuesdays grow cold Love for all my life, to have and to hold Oh, and I want a Sunday kind of love, oh yeah, yeah, yeah [Outro] I don't want a Monday, Tuesday or Wednesday or Thursday Friday or Saturday, oh, nothing but Sunday, oh yeah, yeah I want a Sunday, Sunday, I want a Sunday kind of love Oh yeah, Sunday, Sunday, Sunday kind of love"
Adele,I Drink Wine,2021,soul,"I took… Read More [Verse 1] How can one become so bounded by choices that somebody else makes? How come we've both become a version of a person we don't even like? We're in love with the world, but the world just wants to bring us down By puttin' ideas in our heads that corrupt our hearts somehow When I was a child, every single thing could blow my mind Soaking it all up for fun, but now I only soak up wine They say to play hard, you work hard, find balance in the sacrifice And yet I don't know anybody who's truly satisfied [Pre-Chorus] You better believe I'm tryin' (Tryin', tryin') To keep climbin' (Climbin', climbin') But the higher we climb feels like we're both none the wiser [Chorus] So I hope I learn to get over myself Stop tryin' to be somebody else So we can love each other for free Everybody wants somethin', you just want me [Verse 2] Why am I obsessin' about the things I can't control? Why am I seekin' approval from people I don't even know? In these crazy times, I hope to find somethin' I can cling on to 'Cause I need some substance in my life, somethin' real, somethin' that feels true [Pre-Chorus] You better believe for you, I've cried (I've cried, I've cried) High tides (High tides, high tides) 'Cause I want you so bad, but you can't fight fire with fire, oh [Chorus] So I hope I learn to get over myself Stop tryin' to be somebody else Oh, I just want to love you, love you for free Everybody wants somethin' from me, you just want me [Bridge] Listen, I know how low I can go, I give as good as I get You get the brunt of it all 'cause you're all I've got left Oh, I hope in time (Hope in time) We both will find peace of mind (We both find) Sometimes, the road less travelled is a road best left behind [Chorus] Well, I hope I learn to get over myself Stop tryin' to be somebody else Oh, I just want to love you, love you for free, yeah 'Cause everybody wants somethin' from me, you just want me [Refrain] You better believe I'm tryin' (Tryin', tryin') To keep climbin' (Climbin', climbin') But the higher we climb, feels like we're both none the wiser [Outro] The only regret I have I wish that it was just at a different time A most turbulent period of my life Why would I put that on you? That's just, like, a very heavy thing to have to talk about But because of that period of time Even though it was so much fun I didn't get to go on and make new memories with him There was just memories in a big storm"
Masego,Mystery Lady,2020,soul,"We've got it together, we vibin', you need to go You're not even there, I wanna die, baby We've got it together, we vibin', you need to go You're not even there, I wanna die, baby We've got it together, we vibin', you need to go (Ooh-ooh, ooh-ooh) You're not even there, I wanna die, baby (Ooh-ooh, ooh-ooh) We've got it together, we vibin', you need to go (Ooh-ooh, ooh-ooh) You're not even therе, I wanna die, baby (Ooh-ooh, ooh-ooh) [Chorus: Masego] Thinkin' I could make this many songs 'bout a lady When I havеn't met her, but she on me heavy, on my cerebellum If I say I love her, am I wrong? Am I crazy? Am I overzealous? But I know the feeling, and I'm never wrong Swear that I've been gifted with a song and a medley It's intoxicating, it weigh on you heavy like the alcohol We can do, like, anything you want, I'm amazing Letter to my lady, I just wanna please you, check my catalog [Verse 1: Masego] In this life, I've come across fans and hoes And I like to give my fans a rose Curse of the talented Everywhere I go, they wanna change clothes and pose But my wife be in my dreams, bruh; no, I couldn't see her I saw her silhouette, I know I can make her wet But when I wake up alone, 'lone, 'lone I just break out my phone, phone, phone [Chorus: Masego] Thinkin' I could make this many songs 'bout a lady When I haven't met her, but she on me heavy, on my cerebellum If I say I love her, am I wrong? Am I crazy? Am I overzealous? But I know the feeling, and I'm never wrong Swear that I've been gifted with a song and a medley It's intoxicating, it weigh on you heavy like the alcohol We can do, like, anything you want, I'm amazing Letter to my lady, I just wanna please you, check my catalog [Verse 2: Don Toliver] Thinking I can make this many songs about My lady, she be havin' me up, down (Ooh, ooh) I be in my feelings; sometimes, I be jealous But I keep it thuggin' like it's Makaveli Ring, ring, hit my celly (Ring, ring) Remember you went bad on me, I won't forget it (Ring, ring) You said you wanna tell on me, now, won't you tell it? (Yeah) In between the sheets, you know I got you yellin' (Yellin') [Chorus: Masego] Thinkin' I could make this many songs 'bout a lady When I haven't met her, but she on me heavy, on my cerebellum If I say I love her, am I wrong? Am I crazy? Am I overzealous? But I know the feeling, and I'm never wrong Swear that I've been gifted with a song and a medley It's intoxicating, it weigh on you heavy like the alcohol We can do, like, anything you want, I'm amazing Letter to my lady, I just wanna please you, check my catalog [Bridge: Masego & Don Toliver] Could it be monogamy ain't meant for me? (No, no, no, nah) That's way too reckless (Yeah), I'd get too jealous Could she be from the East or overseas? (Ha) I learned my lesson, I'm way too Western Could she be my favorite ethnicity? (Ha) I'm just undressing all of the sections of my thoughts (Yeah) Thinkin', thinkin', thinkin', thinkin', thinkin' too hard Thinkin' too hard, ha, but I really wanna know [Chorus: Masego] Thinkin' I could make this many songs 'bout a lady When I haven't met her, but she on me heavy, on my cerebellum If I say I love her, am I wrong? Am I crazy? Am I overzealous? But I know the feeling, and I'm never wrong Swear that I've been gifted with a song and a medley It's intoxicating, it weigh on you heavy like the alcohol We can do, like, anything you want, I'm amazing Letter to my lady, I just wanna please you, check my catalog [Outro: Masego & Don Toliver] We've got it together, we vibin', you need to go You're not even there, I wanna die, baby We've got it together, we vibin', you need to go You're not even there, I wanna die, baby (Ooh-ooh, ooh-ooh) (Ooh-ooh, ooh-ooh) (Ooh-ooh, ooh-ooh) (Ooh-ooh, ooh-ooh)"
Missy Elliott,Work It,2002,soul,"DJ, please pick up your phone, I'm on the request line This is a Missy Elliott one-time exclusive (C'mon) [Chorus] Is it worth it? Let me work it I put my thing down, flip it and reverse it ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP If you got a big— let me search ya And find out how hard I gotta work ya ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP (C'mon) [Verse 1] I'd like to get to know ya so I could show ya Put the pussy on ya like I told ya Give me all your numbers so I can phone ya Your girl acting stank, then call me over Not on the bed, lay me on your sofa Call before you come, I need to shave my chocha You do or you don't or you will or won't ya? Go downtown and eat it like a vulture See my hips and my tips, don't ya? See my ass and my lips, don't ya? Lost a few pounds and my waist for ya This the kind of beat that go ra-ta-ta Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta Sex me so good I say blah-blah-blah Work it, I need a glass of water Boy, oh boy, it's good to know ya (C'mon) [Chorus] Is it worth it? Let me work it I put my thing down, flip it and reverse it ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP If you got a big— let me search ya And find out how hard I gotta work ya ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP (C'mon) [Verse 2] If you a fly gal, get your nails done Get a pedicure, get your hair did Boy, lift it up, let's make a toast-a Let's get drunk, that's gonna bring us closer (Okay) Don't I look like a Halle Berry poster? See the Belvedere playing tricks on ya (Ah) Girlfriend wanna be like me, never You won't find a bitch that's even better (Ah) I make you hot as Las Vegas weather Listen up close while I take it backwards ​sdrawkcab ti ekat ot ekil yssiM yaw eht hctaW I'm not a prostitute, but I could give you what you want I love your braids and your mouth full of fronts Love the way my ass go ba-bum-bum-bum-bum (Huh) Keep your eyes on my ba-bum-bum-bum-bum-bum (Okay) You think you can handle this? Ga-dunk-a-dunk-dunk (Woo) Take my thong off and my ass go boom (Ugh) Cut the lights on so you see what I could do (C'mon) [Chorus] Is it worth it? Let me work it I put my thing down, flip it and reverse it ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP (Ooh) If you got a big— let me search ya And find out how hard I gotta work ya ​ti esrever dna ti pilf ,nwod gniht ym tuP (Huh) ​ti esrever dna ti pilf ,nwod gniht ym tuP (C'mon, c'mon) [Bridge] Boys, boys, all type of boys Black, white, Puerto Rican, Chinese boys (C'mon) Why-thai, thai-o-toy-o-thai-thai Why-thai, thai-o-toy-o-thai-thai (C'mon) Girls, girls, get that cash If it's nine to five or shaking your ass (Aha) Ain't no shame, ladies do your thing (C'mon) Just make sure you ahead of the game [Verse 3] Just 'cause I got a lot of fame super Prince couldn't get me change my name, papa Kunta Kinte a slave again, no sir Picture Blacks saying, “Oh yes-a, massa” Picture Lil' Kim dating a pastor Minute man, Big Red could outlast ya Who is the best? I don't have to ask ya When I come out, you won't even matter (Ugh) Why you act dumb like, yeah, duh? So you act dumb like, uh, duh As the drummer boy go ba-rom-pop-pom-pom (Ooh) Give you some-some-some of this cinna-bun (C'mon) [Chorus] Is it worth it? Let me work it I put my thing down, flip it and reverse it ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP (Ooh) If you got a big— let me search ya And find out how hard I gotta work ya ​ti esrever dna ti pilf ,nwod gniht ym tuP ​ti esrever dna ti pilf ,nwod gniht ym tuP (C'mon) [Outro] To my fellas (Ooh, good God) I like the way you work that (Uh-huh, la-la-la-la) To my ladies (Woo) You sure know how to work that (Good God)"
Adele,Water Under the Bridge,2015,soul,"If you're not the one for me Then how come I can bring you to your knees? If you're not the one for me Why do I hate the idea of being free? And if I'm not the one for you You've gotta stop holdin' me the way you do Oh, honey, if I'm not the one for you Why have we been through what we have been through? [Pre-Chorus] It's so cold out here (Here, here, here) In your wilderness (Eh, eh, eh) I want you to be my keeper (Eh, eh, eh) But not if you are so reckless [Chorus] If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge [Post-Chorus] Woah Say that our love ain't water under the bridge [Verse 2] What are you waiting for? You never seem to make it through the door And who are you hiding from? It ain't no life to live like you're on the run Have I ever asked for much? The only thing that I want is your love [Chorus] If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge [Post-Chorus] Woah Say that our love ain't water under the bridge [Pre-Chorus] It's so cold (Here, here, here) In your wilderness (Eh, eh, eh) I want you to be my keeper (Eh, eh, eh) But not if you are so reckless (Ooh) [Chorus] If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge If you're gonna let me down, let me down gently Don't pretend that you don't want me Our love ain't water under the bridge [Post-Chorus] Woah (Say it ain't so, say it ain't so) (Say it ain't so, say it ain't so) Say that our love ain't water under the bridge (Say it ain't so, say it ain't so) (Say it ain't so, say it ain't so) Woah (Say it ain't so, say it ain't so) (Say it ain't so, say it ain't so) Say that our love ain't water under the bridge (Say it ain't so, say it ain't so) (Say it ain't so, say it ain't so) [Outro] Say that our love ain't water under the bridge"
